date,max_price,min_price,last_price,last_deal_price,first_price,yesterday_price,value,volume,count
20190723,1332,1090,1155,1100,1180,1211,21347772573,18489349,1494
20190722,1301,1065,1211,1200,1196,1183,50952837648,42064247,3293
20190721,1230,1008,1183,1170,1185,1119,31401255282,26535329,2263
20190720,1139,933,1119,1139,1130,1036,32881515566,29372353,2310
20190717,1059,867,1036,1059,940,963,16840646442,16249432,1198
20190716,1156,946,963,950,962,1051,31468302813,32690408,2193
20190715,1265,1035,1051,1049,1109,1150,37559997273,35742062,2616
20190714,1285,1053,1150,1128,1239,1169,41569312331,36146246,3198
20190713,1183,969,1169,1183,1139,1076,56448555870,48287243,3414
20190710,1103,903,1076,1103,1080,1003,62485337359,58075961,4164
20190709,1014,830,1003,1014,935,922,40779675483,40667233,2742
20190708,1002,820,922,929,919,911,10952580619,11882713,958
20190707,1006,824,911,918,902,915,8174592358,8977197,753
20190706,973,797,915,901,903,885,18989000345,20754575,1547
20190703,1002,820,885,883,910,911,11483866969,12974956,1056
20190702,958,784,911,902,901,871,25178449800,27638536,2040
20190701,891,729,871,891,811,810,33674731207,38648030,2682
20190630,893,731,810,806,826,812,2483454764,3065674,304
20190626,881,721,812,806,800,801,5419743733,6674889,553
20190625,898,736,801,803,827,817,4460299747,5565746,448
20190624,886,726,817,815,802,806,6558484583,8027637,649
20190623,869,711,806,802,789,790,3139103283,3896612,472
20190622,870,712,790,786,810,791,2319126535,2935578,254
20190619,883,723,791,799,802,803,2903197998,3672312,405
20190618,893,731,803,795,808,812,5095855802,6343143,570
20190617,902,738,812,810,806,820,4515390800,5561161,507
20190616,892,730,820,808,830,811,7019985950,8562753,645
20190615,920,754,811,817,830,837,4067634392,5016117,423
20190612,895,733,837,835,825,814,11934346404,14261031,994
20190611,904,740,814,816,811,822,4341058510,5334293,495
20190610,888,728,822,820,820,808,8566684196,10418805,827
20190609,839,687,808,810,782,763,5053953881,6257027,489
20190608,875,717,763,778,759,796,7051996726,9241945,850
20190603,897,735,796,797,803,816,9880087430,12409895,1014
20190602,924,756,816,812,840,840,22041014275,27024243,1867
20190601,942,772,840,844,857,857,2821657822,3359989,341
20190529,958,784,857,857,889,871,5620921621,6562508,592
20190528,917,751,871,880,825,834,11231243974,12895814,1163
20190526,893,731,834,829,840,812,3846703848,4610760,445
20190525,900,738,812,815,811,819,3409413220,4196945,390
20190522,916,750,819,819,849,833,4643480033,5667735,505
20190521,891,729,833,830,820,810,3505441073,4209310,441
20190520,919,753,810,820,840,836,4572758023,5645684,549
20190519,960,786,836,835,856,873,7777951547,9309154,847
20190518,959,785,873,856,857,872,5469689605,6265274,536
20190515,995,815,872,861,915,905,7658581011,8785323,780
20190514,943,773,905,901,881,858,7629731849,8428343,795
20190513,909,745,858,870,824,827,7812130766,9102738,660
20190512,996,816,827,835,885,906,11166242899,13503944,1079
20190511,1008,826,906,850,929,917,11704615228,12922498,1050
20190508,1010,828,917,920,859,919,14709924184,16039704,1314
20190507,1115,913,919,913,940,1014,9667591750,10522487,799
20190506,1127,923,1014,985,1059,1025,31460109151,31026592,2275
20190505,1048,858,1025,1041,984,953,49785233902,48586799,3118
20190504,994,814,953,962,920,904,16296763624,17092996,1553
20190501,983,805,904,910,894,894,15048371009,16642909,1196
20190430,997,817,894,871,913,907,16215814663,18139716,1726
20190429,925,757,907,901,920,841,36512945562,40263327,3031
20190428,864,708,841,864,791,786,31856508210,37876177,2998
20190427,870,712,786,791,801,791,6582100459,8372723,642
20190424,865,709,791,793,792,787,3355629090,4239839,316
20190423,885,725,787,779,800,805,4823774324,6128080,533
20190422,905,741,805,790,829,823,5653946448,7024372,620
20190420,864,708,823,820,801,786,5541773642,6735001,524
20190417,882,722,786,785,800,802,5832934214,7423526,545
20190416,918,752,802,781,822,835,7937371087,9897772,738
20190415,904,740,835,821,818,822,6945261811,8313258,628
20190414,894,732,822,816,819,813,8732536750,10628023,829
20190413,930,762,813,815,831,846,14284840018,17580442,1343
20190410,940,770,846,830,852,855,17626938798,20840100,1435
20190409,910,746,855,849,849,828,16997510404,19879275,1457
20190408,896,734,828,834,824,815,16573734217,20006714,1616
20190407,825,675,815,825,761,750,26020640370,31920673,2131
20190406,816,668,750,754,745,742,7917379357,10553837,789
20190331,801,657,742,739,738,729,4985797713,6720750,567
20190330,808,662,729,729,745,735,8386058672,11497565,828
20190327,814,666,735,730,750,740,5293822600,7205447,569
20190326,829,679,740,741,755,754,5141554902,6951346,674
20190325,816,668,754,747,760,742,4591981392,6090053,524
20190319,771,631,742,755,718,701,10495174031,14137440,1282
20190318,777,637,701,700,710,707,2512666613,3585389,360
20190317,764,626,707,694,704,695,5022963241,7104342,593
20190316,819,671,695,684,736,745,8198117234,11801991,913
20190313,795,651,745,729,750,723,21492035330,28860261,2217
20190312,738,604,723,738,678,671,17814469479,24650662,1946
20190311,701,575,671,680,633,638,10485447850,15636686,1221
20190310,706,578,638,639,644,642,1511540021,2370617,214
20190309,700,574,642,636,634,637,2157179513,3361598,263
20190306,695,569,637,639,635,632,1821852483,2858533,254
20190305,698,572,632,635,642,635,1728072506,2732160,248
20190304,704,576,635,635,641,640,2342801690,3688888,339
20190303,708,580,640,641,652,644,1998520095,3122051,304
20190302,706,578,644,640,650,642,1576304823,2447891,266
20190227,707,579,642,643,652,643,2342145347,3648502,324
20190226,719,589,643,643,660,654,1439587197,2238143,224
20190225,726,594,654,650,666,660,1550311936,2369878,241
20190224,722,592,660,661,668,657,958599305,1453078,194
20190223,718,588,657,665,669,653,3788580064,5766405,491
20190220,721,591,653,650,645,656,3544353962,5425542,462
20190219,706,578,656,659,651,642,2150805050,3280904,290
20190218,718,588,642,650,630,653,2938720858,4578920,383
20190217,734,602,653,650,661,668,2465483193,3775985,393
20190216,730,598,668,665,675,664,2073465065,3102424,309
20190213,744,610,664,668,670,677,3554916276,5353528,476
20190212,754,618,677,671,695,686,2154360253,3184455,310
20190210,757,621,686,684,691,689,2360693343,3443591,290
20190206,762,624,689,685,690,693,4591012803,6660854,445
20190205,776,636,693,699,700,706,2059287525,2971334,257
20190204,765,627,706,701,700,696,2325963348,3293979,322
20190203,776,636,696,695,701,706,3036789707,4361446,369
20190202,779,639,706,701,704,709,2661125692,3771073,310
20190130,786,644,709,700,720,715,3255972849,4594538,383
20190129,788,646,715,712,715,717,4438183476,6207594,502
20190128,785,643,717,715,715,714,3106080400,4334951,348
20190127,797,653,714,714,719,725,2774779505,3887058,356
20190126,806,660,725,720,724,733,1956461217,2698655,274
20190123,818,670,733,732,749,744,2595824968,3538971,374
20190122,785,643,744,740,724,714,6644345828,8930022,744
20190121,805,659,714,727,731,732,4552515404,6377955,516
20190120,812,666,732,730,741,739,3566241209,4869205,444
20190119,792,648,739,738,721,720,9158772785,12393832,1042
20190116,801,657,720,725,722,729,5738145190,7971312,632
20190115,801,657,729,728,733,729,3140319283,4305960,385
20190114,804,658,729,733,725,731,4183088344,5738325,484
20190113,820,672,731,729,742,746,4669506201,6391342,575
20190112,834,684,746,740,735,759,4878646722,6542246,561
20190109,797,653,759,749,730,725,19756413081,26024044,2020
20190108,789,647,725,725,720,718,5157853914,7117516,494
20190107,778,638,718,716,702,708,4289004326,5972452,481
20190106,794,650,708,710,728,722,3740917504,5284137,456
20190105,789,647,722,720,720,718,3438361832,4763232,409
20190102,806,660,718,721,742,733,4497085275,6260743,505
20190101,792,648,733,726,710,720,8206768053,11197683,845
20181231,829,679,720,714,750,754,6408247848,8898994,741
20181230,798,654,754,750,765,726,18110496300,24014889,1790
20181229,742,608,726,742,686,675,10962501410,15095734,1297
20181226,716,586,675,682,647,651,4721502585,6998381,503
20181225,731,599,651,650,665,665,1456640727,2237346,206
20181224,745,611,665,665,696,678,3112738632,4678217,456
20181223,709,581,678,680,655,645,3519581061,5191686,479
20181222,701,575,645,640,631,638,2587851860,4013959,441
20181219,717,587,638,642,654,652,2401925675,3762159,381
20181218,738,604,652,656,671,671,4556389985,6984281,589
20181217,745,611,671,668,683,678,2847087558,4240611,493
20181216,773,633,678,680,708,703,5093422257,7517190,668
20181215,776,636,703,700,704,706,3322478247,4727309,386
20181212,782,640,706,707,711,711,4711921773,6674083,597
20181211,782,640,711,714,715,711,115260449,161572,21
20181210,781,639,711,714,710,710,3762423661,5292019,451
20181209,783,641,710,710,725,712,4014878779,5655638,477
20181208,789,647,712,719,743,718,8541336810,11988652,985
20181205,799,655,718,727,720,727,7037938505,9796860,769
20181204,832,682,727,729,759,757,4673726861,6428031,521
20181203,816,668,757,748,769,742,5120294644,6764558,558
20181202,809,663,742,751,718,736,16690816769,22500502,1471
20181201,881,721,736,721,797,801,13200095394,17938817,1287
20181128,896,734,801,802,823,815,3994016320,4986411,453
20181127,858,702,815,822,791,780,7228894569,8872064,706
20181126,900,738,780,790,814,819,6211438945,7958582,705
20181124,920,754,819,822,847,837,4182940101,5107928,453
20181121,915,749,837,835,840,832,7277835450,8692126,659
20181120,922,756,832,829,854,839,4441823999,5341248,445
20181119,892,730,839,830,821,811,4093330088,4877007,438
20181118,914,748,811,828,840,831,8422679509,10381040,706
20181117,938,768,831,820,851,853,6313664525,7602132,622
20181114,940,770,853,857,859,855,6601292764,7734608,576
20181113,905,741,855,860,820,823,15495712994,18133718,1303
20181112,878,720,823,834,825,799,6672066956,8104883,675
20181111,909,745,799,799,804,827,7002671425,8760328,750
20181110,949,777,827,820,873,863,4888369729,5912859,611
20181105,908,744,862,862,831,826,5499426491,6381865,544
20181104,924,756,826,819,855,840,5669640428,6867571,559
20181103,968,792,840,833,868,880,4680464579,5575254,525
20181031,997,817,880,870,929,907,6648458179,7553651,687
20181029,950,778,907,900,896,864,8260374888,9108202,798
20181028,900,738,864,879,836,819,5495129316,6363132,648
20181027,873,715,819,820,794,794,6902751547,8430078,775
20181024,952,780,794,792,860,866,13019131764,16393467,1260
20181023,1042,854,866,857,946,948,19173054243,22130824,1589
20181022,1076,882,948,928,981,979,11775973279,12417248,961
20181021,1104,904,979,954,1040,1004,21757727548,22214899,1571
20181020,1024,838,1004,1022,970,931,13706939093,13645546,1131
20181017,1047,857,931,939,960,952,12457204651,13375881,1083
20181016,958,784,952,958,958,871,26251217560,27563986,1909
20181015,878,720,871,878,821,799,6949827378,7983095,504
20181014,933,765,799,800,766,849,13533220158,16946491,1100
20181013,1025,839,849,839,893,932,9629478970,11335500,783
20181010,1064,872,932,888,974,968,28823348816,30924932,2020
20181009,972,796,968,972,927,884,37163749654,38386581,2354
20181008,1071,877,884,885,900,974,32425491968,36675488,2176
20181007,1171,959,974,959,980,1065,30655266937,31474030,2157
20181006,1173,961,1065,1000,1152,1067,49749587640,46731924,3538
20181003,1249,1023,1067,1085,1023,1136,54626965306,51195936,3549
20181002,1526,1250,1136,1125,1250,1388,948698250,834870,90
20180930,1388,1136,1388,1388,1388,1262,39891161696,28742722,1387
20180929,1268,1038,1262,1268,1268,1153,48322245322,38285812,2435
20180926,1153,945,1153,1153,1153,1049,23575284478,20448154,1136
20180925,1084,888,1049,1084,1000,986,59099133285,56350004,4023
20180924,1104,904,986,990,1008,1004,19488238130,19773658,1711
20180923,1113,911,1004,997,1038,1012,28693660999,28578999,2416
20180922,1109,909,1012,1000,990,1009,30247689478,29895148,2429
20180918,1155,945,1009,1005,1065,1050,20581092101,20395676,1656
20180917,1096,898,1050,1039,1055,997,28515182387,27158665,2035
20180916,1200,982,997,1019,982,1091,35073493333,35194331,2084
20180915,1136,930,1091,1021,1134,1033,18419707051,16883702,978
20180911,1038,850,1033,1006,1035,944,2612027904,2528285,110
20180910,950,778,944,950,944,864,21212337382,22470382,1688
20180909,926,758,864,917,840,842,31282026277,36188330,2581
20180908,883,723,842,841,810,803,27566378210,32755697,2213
20180905,807,661,803,807,798,734,28528023898,35536269,1832
20180904,748,612,734,748,697,680,16745567756,22801181,1437
20180903,732,600,680,697,673,666,6997338428,10286758,648
20180902,766,628,666,665,690,697,4476241580,6717223,515
20180901,749,613,697,690,685,681,5679214910,8143023,573
20180829,778,638,681,684,698,708,7547180860,11084177,888
20180828,765,627,708,699,722,696,11488988048,16218768,1204
20180827,721,591,696,700,648,656,19044364280,27346661,1886
20180826,717,587,656,648,646,652,9713685867,14799339,1188
20180825,678,556,652,655,634,617,6909733555,10598517,898
20180821,653,535,617,625,610,594,8623597215,13971669,1023
20180820,655,537,594,603,591,596,5324635647,8960808,690
20180819,653,535,596,588,590,594,4849113625,8135569,509
20180818,650,532,594,590,601,591,2690687458,4530921,341
20180815,652,534,591,595,599,593,3253039158,5504590,431
20180814,645,529,593,587,580,587,3073903981,5185066,458
20180813,663,543,587,583,600,603,3642053931,6206247,494
20180812,655,537,603,591,610,596,2651688620,4396570,340
20180811,650,532,596,600,604,591,2474250614,4151828,389
20180808,675,553,591,597,601,614,2545918220,4304240,385
20180807,710,582,614,599,640,646,6631789799,10795592,844
20180806,690,566,646,630,629,628,6210177756,9609854,777
20180804,720,590,614,612,630,655,3625616414,5905886,463
20180801,731,599,655,637,684,665,7316249783,11176980,758
20180731,700,574,665,670,656,637,8171892111,12287544,1038
20180730,633,519,637,630,623,576,4693120298,7373108,467
20180716,652,534,576,574,587,593,3286963656,5707714,597
20180715,663,543,593,596,600,603,1329725835,2240928,182
20180714,657,539,603,600,599,598,1559731109,2588114,217
20180711,683,559,598,591,605,621,5895728184,9867152,804
20180710,706,578,621,614,646,642,1478542008,2382189,280
20180708,715,585,642,640,653,650,2266193827,3528159,277
20180707,718,588,650,650,664,653,2621639355,4031990,275
20180704,717,587,653,651,668,652,4082991821,6249867,551
20180703,695,569,652,660,645,632,7854588428,12044039,891
20180702,672,550,632,635,627,611,3353070802,5303884,454
20180701,685,561,611,624,616,623,2560902843,4190462,419
20180630,688,564,623,613,612,626,1928300900,3094189,286
20180627,710,582,626,620,649,646,3703260681,5916605,494
20180626,730,598,646,649,662,664,2482613043,3841673,326
20180625,739,605,664,650,676,672,10078542940,15173982,1121
20180624,740,606,672,663,670,673,7552538790,11232310,830
20180623,764,626,673,666,692,695,5067328799,7526204,627
20180620,772,632,695,660,708,702,8392290333,12068952,840
20180619,786,644,702,680,666,715,12841327758,18286247,1313
20180618,774,634,715,672,737,704,17349376959,24254909,1721
20180617,709,581,704,709,680,645,8662429723,12311237,956
20180613,657,539,645,657,616,598,14235697059,22078299,1591
20180612,622,510,598,615,577,566,7019840276,11737968,1044
20180611,597,489,566,569,552,543,2215662296,3916898,360
20180610,609,499,543,546,563,554,1745754720,3213886,392
20180609,618,506,554,543,564,562,1109171061,2001367,213
20180603,623,511,562,564,551,567,1473812504,2622562,265
20180602,631,517,567,563,568,574,896335871,1580943,172
20180530,652,534,574,570,593,593,1621628912,2826436,295
20180529,646,530,593,581,587,588,2168566729,3656281,358
20180528,624,512,588,575,574,568,3462697938,5890848,513
20180527,643,527,568,570,580,585,1397655791,2458658,217
20180526,635,521,585,574,600,578,2626400906,4488259,414
20180523,596,488,578,590,555,542,5018119974,8686441,900
20180522,594,486,542,546,557,540,1117972132,2061392,199
20180521,613,503,540,537,552,558,2153684203,3987542,407
20180520,622,510,558,553,560,566,914788897,1640588,193
20180519,619,507,566,560,557,563,1010469388,1786610,231
20180516,650,532,563,560,570,591,1728471425,3070075,325
20180515,658,540,591,575,581,599,2783467455,4713576,462
20180514,629,515,599,591,600,572,3204800593,5354573,526
20180513,578,474,572,578,538,526,3565129672,6236949,534
20180512,573,469,526,531,530,521,917010991,1741942,157
20180509,609,499,521,520,540,554,3238220199,6218232,576
20180508,588,482,554,550,543,535,1963691194,3543339,340
20180507,587,481,535,539,538,534,1011089421,1891218,162
20180506,621,509,534,534,575,565,2321655502,4347868,380
20180505,629,515,565,561,593,572,516339810,913212,130
20180501,619,507,572,571,578,563,791152948,1383797,174
20180430,624,512,563,570,568,568,1268465130,2251404,181
20180429,644,528,568,574,575,586,1346997352,2369499,266
20180428,673,551,586,593,620,612,1866608218,3184984,339
20180425,672,550,612,612,619,611,533546559,871891,104
20180424,657,539,611,617,593,598,1851518785,3029879,325
20180423,675,553,598,590,615,614,2035956986,3402280,318
20180422,684,560,614,616,625,622,1582989931,2576622,254
20180421,680,558,622,623,634,619,1315933422,2117320,182
20180418,689,565,619,621,612,627,1698483862,2744879,274
20180417,693,567,627,618,637,630,1567397452,2501645,206
20180416,700,574,630,630,630,637,1452369597,2306561,223
20180415,687,563,637,635,630,625,1752940450,2753307,233
20180411,726,594,625,610,670,660,4631522241,7413889,637
20180410,728,596,660,659,660,662,2128952311,3227333,304
20180409,735,603,662,656,683,669,2005492097,3030179,297
