date,max_price,min_price,last_price,last_deal_price,first_price,yesterday_price,value,volume,count
20190722,999999,1,6000,6000,6000,5799,1390842000,231807,58
20190720,999999,1,5799,5799,5799,5590,31894500,5500,3
20190717,999999,1,5590,5750,5590,5590,1310772890,234471,36
20190715,999999,1,5590,5800,5555,5119,2016880495,360829,50
20190710,999999,1,5119,5201,5000,4610,870620774,170065,25
20190708,999999,1,4610,4753,4500,4000,409257314,88785,30
20190706,999999,1,4000,4000,4000,3781,281300000,70325,23
20190701,999999,1,3781,3781,4830,3781,172810605,45705,16
20190626,999999,1,3781,3900,3580,3580,67242140,17785,10
20190624,999999,1,3580,3580,3580,3235,73390000,20500,7
20190622,999999,1,3235,3270,3223,3223,483994744,149628,24
20190619,999999,1,3223,3280,3215,3215,276104770,85678,19
20190617,999999,1,3215,3250,3396,3200,381142350,118567,26
20190615,999999,1,3200,3200,3200,3055,35200000,11000,3
20190612,999999,1,3055,3055,3055,2801,1196631280,391696,44
20190608,999999,1,2801,2801,2801,2800,1220252849,435649,44
20190603,999999,1,2800,2800,2800,3800,2759218000,985435,121
20190601,999999,1,3800,3800,3800,3800,24578400,6468,5
20190529,999999,1,3800,3800,3880,4124,30396200,7999,4
20190522,999999,1,4124,4124,4124,4124,1319680,320,2
20190520,999999,1,4124,4124,4124,4017,90723876,21999,8
20190518,999999,1,4017,4017,4840,4016,35068410,8730,5
20190513,999999,1,4016,4200,4012,3790,924674916,230243,69
20190511,999999,1,3790,3790,4000,3799,105566660,27854,7
20190508,999999,1,3799,3799,3799,4517,865408401,227799,63
20190504,999999,1,4517,4000,4980,4866,635859620,140769,37
20190501,999999,1,4866,4999,4850,3661,2200685300,452215,112
20190429,999999,1,3661,4010,3510,3002,853515210,233121,37
20190427,999999,1,3002,3200,2800,2760,554558800,184757,23
20190424,999999,1,2760,2800,2750,2558,535104450,193899,34
20190422,999999,1,2558,2550,2558,2558,792634736,309924,42
20190420,999999,1,2558,2559,2558,2558,86861448,33956,14
