date,max_price,min_price,last_price,last_deal_price,first_price,yesterday_price,value,volume,count
20190601,638,522,638,638,638,580,18488639004,28979058,730
20190529,646,530,580,580,580,588,13142075000,22658750,485
20181230,616,504,588,592,572,560,11201339975,19043111,1598
20181229,650,532,560,570,550,591,12014821965,21449527,1679
20181226,698,572,591,588,600,635,10111619844,17102022,1653
20181225,754,618,635,625,635,686,15739327576,24788895,1971
20181224,800,656,686,695,720,728,15814227280,23053515,1960
20181223,810,664,728,724,737,737,4654988579,6396417,743
20181222,820,672,737,727,721,746,2363362737,3206297,442
20181219,825,675,746,739,750,750,3872596574,5192262,527
20181218,803,657,750,760,740,730,4817479003,6422478,684
20181217,798,654,730,740,710,726,4273127673,5856927,714
20181216,816,668,726,716,740,742,3814263143,5256716,684
20181215,833,683,742,739,751,758,6449520305,8686426,908
20181212,858,702,758,754,763,780,4636488122,6119866,776
20181211,858,702,780,785,780,780,184246497,235827,39
20181210,852,698,780,784,751,775,4630412997,5940020,669
20181209,870,712,775,770,790,791,5861286454,7562949,804
20181208,883,723,791,800,800,803,5215686353,6596042,811
20181205,886,726,803,796,805,806,7471762043,9303445,917
20181204,913,747,806,805,834,830,3526336223,4374749,534
20181203,899,737,830,820,826,818,4493088749,5411512,699
20181202,863,707,818,830,771,785,3936232614,4809927,642
20181201,896,734,785,775,811,815,3676490773,4686318,690
20181128,938,768,815,819,832,853,6070125689,7444279,857
20181127,906,742,853,853,840,824,4104467605,4809516,671
20181126,968,792,824,832,850,880,5604545052,6800276,807
20181124,1039,851,880,860,960,945,12481884228,14176101,1316
20181121,1007,825,945,950,911,916,15207294921,16100808,1519
20181120,935,765,916,935,888,850,19629309017,21429265,1791
20181119,870,712,850,870,794,791,6197137090,7290923,809
20181118,954,782,791,791,791,868,103621000,131000,16
20181113,952,780,868,850,879,866,4253353797,4900361,557
20181112,939,769,866,890,853,854,6762861684,7807499,880
20181111,997,817,854,851,872,907,5270837551,6172141,710
20181110,1032,846,907,890,921,939,5919214604,6525905,783
20181105,992,812,936,949,870,902,8038234783,8584046,968
20181104,1013,829,902,900,880,921,4578104050,5076755,623
20181103,1081,885,921,901,897,983,5767080780,6263582,724
20181031,1079,883,983,950,1030,981,16821082518,17119040,1654
20181029,983,805,981,983,983,894,22081660983,22502090,1611
20181028,914,748,894,914,851,831,8680067935,9712060,895
20181027,903,739,831,845,800,821,3936188535,4738966,503
